section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,33,1765440754023051657,1765440754098176657,75,914.226,1003.496,7.935235535662954,-26.894706364327554
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,34,1765440754108176657,1765440754408423657,300,899.298,981.07,6.842835122681852,-25.480550492982076
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,35,1765440754428423657,1765440754548551657,120,893.724,988.833,6.476884894356085,-25.98401900577945
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,36,1765440754563547657,1765440754643671657,80,888.254,999.63,6.1232766822444775,-26.68163746825302
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,37,1765440754718796657,1765440754918919657,200,943.918,986.888,9.93399404650057,-25.7847890151239
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,38,1765440754943934657,1765440755289291657,345,957.836,979.822,10.865589914343671,-25.308233515360516
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,39,1765440755304291657,1765440755379415657,75,975.942,958.181,12.020724462542816,-23.89396645547203
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,40,1765440755589539657,1765440755769662657,180,646.498,342.012,-10.132947233421257,15.52293218167778
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,41,1765440755799794657,1765440757726522657,1927,804.147,574.923,0.27382313395211183,0.599862796994997
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,42,1765440757816646657,1765440757976770657,160,532.481,318.87,-17.724030848775314,16.805654463906574
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,43,1765440758016769657,1765440758562265657,545,624.453,376.73,-11.513649896486164,13.281377885204423
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,44,1765440758682394657,1765440758817513657,135,825.618,923.266,1.7353254863303282,-21.834148146486825
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,45,1765440758827516657,1765440758967637657,140,864.282,840.465,4.264226104622026,-16.507228545566253
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,46,1765440759027762657,1765440759237884657,210,811.56,845.467,0.7707677238243192,-16.84585035373153
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,47,1765440759288009657,1765440759413133657,125,913.358,736.108,7.3885149529562035,-9.776755316881571
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,48,1765440759488133657,1765440759728381657,240,870.304,651.68,4.553903068647767,-4.354567285346913
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,49,1765440759873504657,1765440759973629657,100,1016.096,1047.682,15.269895710118941,-29.48811102757631
