section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,26,1765440750379705657,1765440750414705657,35,70.80558079430119,4.573539247213077,2054.442958984268,2580.2291822507545
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,27,1765440750860205657,1765440750900201657,40,98.66500928263389,6.363800677780156,2541.3701226756257,3608.907158210737
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,28,1765440751265573657,1765440751450700657,185,733.9876710359543,47.19513968623925,5977.283489299593,10423.190322566108
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,29,1765440751620831657,1765440751655948657,35,83.50782565278718,5.333085860480809,3614.5374925024807,4450.513186791084
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,30,1765440752536692657,1765440752581813657,45,148.0223924503048,9.36104989971784,3460.7238876532015,5236.373364159962
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,31,1765440753342432657,1765440753397556657,55,244.4066934233112,15.513232004618594,4078.656497447155,6078.135601218846
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,32,1765440753542686657,1765440753827928657,285,630.703763675988,40.360555461993826,3293.134134360786,7301.074677328378
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,33,1765440754003051657,1765440754023051657,20,28.855603561227525,1.8168791846958736,1699.5614500936545,1902.4516619513424
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,34,1765440754098176657,1765440754108176657,10,8.813331866913746,0.5601010152655905,1327.9626307468068,1391.5208666377612
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,35,1765440754408423657,1765440754428423657,20,19.158527613737466,1.2292198760896047,1270.0651169831528,1470.5838872852444
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,36,1765440754548551657,1765440754563547657,15,15.831837659710683,1.0115667531939503,1176.7311033133822,1219.5258351087098
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,37,1765440754643671657,1765440754718796657,75,70.94732239902125,4.461534573428594,1361.439432324432,2702.356111620585
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,38,1765440754918919657,1765440754943934657,25,2.6134469635862216,0.16551194452773227,901.13447326486,1374.0506583784786
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,39,1765440755289291657,1765440755304291657,15,11.771323426529447,0.7439408426305839,997.3215869137484,1116.6611411879262
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,40,1765440755379415657,1765440755589539657,210,838.6151412205103,53.930317222058825,5510.3389359090415,10321.630704002262
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,41,1765440755769662657,1765440755799794657,30,102.02396800354485,6.497294670790161,3096.6925866508705,3737.5660866724756
